TimePDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
10/19/2016 12:53 AM,60.1,50,69,30.17,10,NNW,4.6,-,N/A,,Clear,340,2016-10-19 07:53:00
10/19/2016 1:53 AM,60.1,50,69,30.18,10,NNW,11.5,-,N/A,,Clear,340,2016-10-19 08:53:00
10/19/2016 2:53 AM,59,48,67,30.18,10,NNE,4.6,-,N/A,,Clear,30,2016-10-19 09:53:00
10/19/2016 3:53 AM,57.9,48,70,30.17,10,Calm,Calm,-,N/A,,Clear,0,2016-10-19 10:53:00
10/19/2016 4:53 AM,55,46,72,30.18,10,North,4.6,-,N/A,,Clear,360,2016-10-19 11:53:00
10/19/2016 5:53 AM,54,46.9,77,30.18,10,Calm,Calm,-,N/A,,Clear,0,2016-10-19 12:53:00
10/19/2016 6:53 AM,50,46,86,30.19,10,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-10-19 13:53:00
10/19/2016 7:53 AM,53.1,48.9,86,30.2,10,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-10-19 14:53:00
10/19/2016 8:53 AM,60.1,52,75,30.21,10,NNE,3.5,-,N/A,,Partly Cloudy,30,2016-10-19 15:53:00
10/19/2016 9:53 AM,62.1,48.9,62,30.21,10,West,3.5,-,N/A,,Scattered Clouds,280,2016-10-19 16:53:00
10/19/2016 10:53 AM,64.9,46,50,30.21,10,West,5.8,-,N/A,,Scattered Clouds,260,2016-10-19 17:53:00
10/19/2016 11:53 AM,68,48.9,50,30.2,10,WNW,10.4,-,N/A,,Scattered Clouds,290,2016-10-19 18:53:00
10/19/2016 12:53 PM,69.1,50,51,30.18,10,West,11.5,-,N/A,,Partly Cloudy,280,2016-10-19 19:53:00
10/19/2016 1:53 PM,72,48,43,30.16,10,WNW,12.7,-,N/A,,Partly Cloudy,300,2016-10-19 20:53:00
10/19/2016 2:53 PM,73,44.1,35,30.15,10,NW,12.7,-,N/A,,Partly Cloudy,310,2016-10-19 21:53:00
10/19/2016 3:53 PM,73.9,45,35,30.13,10,West,11.5,-,N/A,,Scattered Clouds,280,2016-10-19 22:53:00
10/19/2016 4:53 PM,70,54,57,30.12,10,West,10.4,-,N/A,,Mostly Cloudy,270,2016-10-19 23:53:00
10/19/2016 5:53 PM,68,52,56,30.12,10,WNW,8.1,-,N/A,,Mostly Cloudy,300,2016-10-20 00:53:00
10/19/2016 6:53 PM,64.9,53.1,65,30.12,10,WNW,3.5,-,N/A,,Mostly Cloudy,300,2016-10-20 01:53:00
10/19/2016 7:53 PM,64,55,73,30.13,10,WNW,4.6,-,N/A,,Scattered Clouds,290,2016-10-20 02:53:00
10/19/2016 8:53 PM,61,54,78,30.13,10,Calm,Calm,-,N/A,,Scattered Clouds,0,2016-10-20 03:53:00
10/19/2016 9:53 PM,57.9,55,90,30.13,10,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-10-20 04:53:00
10/19/2016 10:53 PM,57,53.1,87,30.14,10,NE,3.5,-,N/A,,Partly Cloudy,50,2016-10-20 05:53:00
10/19/2016 11:53 PM,57,51.1,81,30.14,10,Calm,Calm,-,N/A,,Partly Cloudy,0,2016-10-20 06:53:00
