TimePDT,Solar Altitude,Cloud Cover,Relative Humidity,Wind Speed
10/19/2016 0:53,0,2,69,1.2
10/19/2016 1:53,0,2,69,1.3
10/19/2016 2:53,0,3,67,1.4
10/19/2016 3:53,0,5,70,1.5
10/19/2016 4:53,0,2,72,1.6
10/19/2016 5:53,0,4,77,1.7
10/19/2016 6:53,0,2,86,1.8
10/19/2016 7:53,0.261799383,3,86,1.9
10/19/2016 8:53,0.523598767,4,75,2
10/19/2016 9:53,0.78539815,6,62,2.1
10/19/2016 10:53,1.047197533,3,50,2.2
10/19/2016 11:53,1.308996917,0,50,2.3
10/19/2016 12:53,1.5707963,0,51,2.4
10/19/2016 13:53,1.832595683,6,43,2.5
10/19/2016 14:53,2.094395067,3,35,2.6
10/19/2016 15:53,2.35619445,6,35,2.7
10/19/2016 16:53,2.617993833,3,57,2.8
10/19/2016 17:53,2.879793217,2,56,2.9
10/19/2016 18:53,3.1415926,5,65,3
10/19/2016 19:53,0,3,73,3.1
10/19/2016 20:53,0,3,78,3.2
10/19/2016 21:53,0,6,90,3.3
10/19/2016 22:53,0,4,87,3.4
10/19/2016 23:53,0,0,81,3.5
